entidad,State_x,Pop2020,State_y,Pop2010,State,Total2010,Male2010,Female2010,Total2020,Male2020,Female2020,Lang_prmillion2010,Lang_prmillion2020,Analfabet Population,Analf_prmillion2020,Students Served on Alphabetization (Initial Level),Alfabetization_prmillion2020
1,Aguascalientes,1425607,Aguascalientes,1184996,Aguascalientes,5,3,2,25,12,13,4.219423525480255,17.53638976239595,21908,15367.489076582817,7554,5298.79553060556
2,Baja California,3769020,Baja California,3155070,Baja California,1558,523,1035,1324,423,901,493.8083782610211,351.2849494032932,52496,13928.289051265316,20082,5328.175493894965
3,Baja California Sur,798447,Baja California Sur,637026,Baja California Sur,143,56,87,162,53,109,224.48063344353292,202.89386772071282,13926,17441.358036287944,5301,6639.138227083326
4,Campeche,928363,Campeche,822441,Campeche,3037,1061,1976,2479,843,1636,3692.666100060673,2670.29168547217,39986,43071.51405215417,12715,13696.15118224229
5,Coahuila de Zaragoza,3146771,Coahuila de Zaragoza,2748391,Coahuila de Zaragoza,57,26,31,40,23,17,20.739407165865412,12.71144293626705,38606,12268.449149938142,26961,8567.830325117398
6,Colima,731391,Colima,650555,Colima,189,82,107,189,75,114,290.52117038528644,258.4117113828308,18734,25614.206354740487,11811,16148.681074828648
7,Chiapas,5543828,Chiapas,4796580,Chiapas,421358,163415,257943,397179,151737,245442,87845.50659011211,71643.45647087175,512720,92484.83178049535,320566,57823.944032895684
8,Chihuahua,3741869,Chihuahua,3406465,Chihuahua,13566,4738,8828,11818,4248,7570,3982.4275311796837,3158.314735229908,73223,19568.56319662714,25120,6713.222723724427
9,Ciudad de México,9209944,Distrito Federal,8851080,Ciudad de México,700,207,493,1032,358,674,79.08639397678023,112.0527985837916,107444,11666.086134725683,38575,4188.407660242016
10,Durango,1832650,Durango,1632934,Durango,5949,2314,3635,8515,3471,5044,3643.1356074403498,4646.277248792732,35779,19523.094971762202,28574,15591.629607399122
11,Guanajuato,6166934,Guanajuato,5486372,Guanajuato,114,63,51,231,100,131,20.778758713408426,37.457835611666994,238838,38728.80754034338,108006,17513.727242743316
12,Guerrero,3540685,Guerrero,3388768,Guerrero,150891,62922,87969,111372,43457,67915,44526.8014806561,31454.930331277705,310327,87646.03459500069,138802,39202.018818392484
13,Hidalgo,3082841,Hidalgo,2665018,Hidalgo,47203,17655,29548,28497,9404,19093,17712.07549067211,9243.746271701979,151311,49081.67498745475,85538,27746.484492713054
14,Jalisco,8348151,Jalisco,7350682,Jalisco,5412,1991,3421,6673,2572,4101,736.2582138636932,799.3386799064847,179014,21443.550793463128,58298,6983.342778538625
15,Estado de México,16992418,México,15175862,México,3052,688,2364,5422,1719,3703,201.10883981417334,319.0834877061052,372454,21918.834623771614,199678,11751.005654404216
16,Michoacán de Ocampo,4748846,Michoacán de Ocampo,4351037,Michoacán de Ocampo,11251,4407,6844,8878,3368,5510,2585.820345816411,1869.5068233419233,242339,51031.13472199351,73037,15379.94704397658
17,Morelos,1971520,Morelos,1777227,Morelos,534,175,359,912,308,604,300.468088769752,462.58724233079045,66663,33812.997078396365,26104,13240.545366012011
18,Nayarit,1235456,Nayarit,1084979,Nayarit,9017,3617,5400,11473,4758,6715,8310.759931759048,9286.449699544137,40464,32752.279320348112,16297,13191.080864069621
19,Nuevo León,5784442,Nuevo León,4653458,Nuevo León,107,32,75,325,107,218,22.993653321895245,56.18519469985177,63980,11060.703867373897,18642,3222.782767983498
20,Oaxaca,4132148,Oaxaca,3801962,Oaxaca,207277,79227,128050,134111,46302,87809,54518.430221027986,32455.517082156784,351511,85067.37899997774,114996,27829.593712519494
21,Puebla,6583278,Puebla,5779829,Puebla,63294,22067,41227,40879,12741,28138,10950.84300936931,6209.520545843575,334179,50761.79374469679,155817,23668.603999405765
22,Querétaro,2368467,Querétaro,1827937,Querétaro,1059,208,851,594,151,443,579.341629388759,250.79513457438924,61734,26064.961006423142,51630,21798.910434470905
23,Quintana Roo,1857985,Quintana Roo,1325578,Quintana Roo,9546,3598,5948,7307,2616,4691,7201.38686671022,3932.755108356634,42224,22725.694771486313,22906,12328.409540443006
24,San Luis Potosí,2822255,San Luis Potosí,2585518,San Luis Potosí,21870,8312,13558,9996,3435,6561,8458.653159637643,3541.848628136012,104794,37131.301034102165,66267,23480.1603682162
25,Sinaloa,3026943,Sinaloa,2767761,Sinaloa,112,40,72,1004,430,574,40.46592173240391,331.6877787259291,80898,26725.974027261167,37310,12325.967155641847
26,Sonora,2944840,Sonora,2662480,Sonora,1419,585,834,1104,499,605,532.9617499474174,374.89303323779905,44134,14986.892326917592,50009,16981.907336222004
27,Tabasco,2402598,Tabasco,2238603,Tabasco,607,221,386,960,329,631,271.1512492389227,399.56746821565656,88856,36983.29891226081,29502,12279.207757602397
28,Tamaulipas,3527735,Tamaulipas,3268554,Tamaulipas,65,18,47,145,50,95,19.88646967435753,41.10286061736496,68196,19331.38401835739,26660,7557.25699351
29,Tlaxcala,1342977,Tlaxcala,1169936,Tlaxcala,277,79,198,440,138,302,236.76508800481395,327.6303317182647,32613,24284.109109835837,21579,16068.033927610079
30,Veracruz de Ignacio de la Llave,8062579,Veracruz de Ignacio de la Llave,7643194,Veracruz de Ignacio de la Llave,73600,26102,47498,48059,15456,32603,9629.4821248813,5960.747795463461,517798,64222.37847219854,199889,24792.19118349104
31,Yucatán,2320898,Yucatán,1955577,Yucatán,43010,17619,25391,24640,9188,15452,21993.508821181676,10616.580306415879,105704,45544.44012619254,19952,8596.67249487052
32,Zacatecas,1622138,Zacatecas,1490668,Zacatecas,233,92,141,187,73,114,156.30576359055135,115.27995768547436,43578,26864.545433249205,31848,19633.348087524
